Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
BAB,BacA Joint Stock Commercial Bank,2021,JSCB,2702,146,268.82,4974.92,0.01,0.02,93440398,9051143,84598379,1060112,655303,759258,34434169,119791806,0.01,0.01,0.01,7341600,1416583,756394,35882,519858,1312134,8133876,8758183,0.02,0.02,9458828,451309,-243589,9666548,0.01,7.56,9.69,0.77,1.25,0.61,8.02,6.15,90.6,28.75,36.85,57.44,42920973,908365,726339
BAB,BacA Joint Stock Commercial Bank,2022,JSCB,3254,163,255.84,5107.48,0.01,0.02,96904601,9800431,94120600,1047118,513879,761286,33911652,128793538,0.01,0.01,0.01,7828820,1811513,1084319,42258,589756,1716333,8955397,9640333,0.02,0.01,10342019,449657,-112384,10679292,0.01,7.61,10.11,0.55,1.11,0.65,8.49,7.41,90.27,26.33,34.99,56.55,30514960,1038959,832519
BVB,Bao Viet Joint Stock Commercial Bank,2009,JSCB,245,,257.59,,0,,3514340,1563108,2255569,5419,-5419,47588,4966598,7269755,0,0,0,188107,81354,32968,8537,38525,80030,229612,269461,0,0,351807,2948,-8797,345958,0,21.5,44.48,-0.24,0.24,0.87,4.04,3.3,77.89,68.32,141.32,27.48,5706647,76497,63110
BVB,Bao Viet Joint Stock Commercial Bank,2010,JSCB,555,8,238.77,16564.63,0,0,7291212,1647871,5615168,33423,-33423,80699,8022004,13717871,0,0,0,632650,155867,62210,14432,73196,149838,709292,788517,0,0,920721,74646,-30160,965207,0,12.01,22.6,-0.6,0.6,0.97,8.04,3.59,81.69,58.48,110.02,15.83,12070000,176690,132517
BVB,Bao Viet Joint Stock Commercial Bank,2011,JSCB,646,10,178.93,11558.6,0,0,7029848,1671211,6712707,79495,-79495,84248,6427966,13224921,0,0,0,1317059,250659,92399,24635,122948,239982,1434093,1567718,0,0,1684294,80181,-42642,1721833,0,12.64,23.77,-1.18,1.18,0.87,6.92,5.71,91.05,48.6,91.44,14.18,11553710,154115,115586
BVB,Bao Viet Joint Stock Commercial Bank,2012,JSCB,687,10,132.62,9111,0,0,6265078,3153400,6748197,137231,-137231,67329,6467724,13283250,0,0,0,1118310,256928,91574,27410,130440,249424,1237294,1375238,0,0,1514892,39718,-57888,1496722,0,23.74,50.33,-2.03,2.03,0.69,2.89,6.13,91.88,48.69,103.23,27.32,10129850,121484,91110
BVB,Bao Viet Joint Stock Commercial Bank,2017,JSCB,1130,,127.96,,0.01,,24065284,3498061,21732406,325038,822385,35217,27094355,48861978,0,0,0.01,1852480,514943,209032,11527,277377,497936,2073039,2367423,0.01,0.01,2733459,181972,-400971,2514460,0,7.16,14.54,3.78,1.5,0.3,4.13,3.25,94.15,55.45,112.59,-19.15,45363918,147037,144595
BVB,Bao Viet Joint Stock Commercial Bank,2018,JSCB,1485,22,53.92,3639.73,0.01,0,27042512,3478275,25746761,308013,1023637,67354,30065223,55879338,0,0,0.01,2174022,596788,221944,17840,336323,576107,2413806,2770810,0.01,0.01,2805928,409779,-341043,2874664,0,6.22,12.86,3.98,1.2,0.14,2.3,2.1,96.39,53.8,111.18,-15.97,52401063,103854,80074
BVB,Bao Viet Joint Stock Commercial Bank,2019,JSCB,1371,24,59.69,3409.96,0,0,29240029,3560114,24758160,458732,1291605,88336,34958005,59804501,0,0,0.01,2629643,682660,288702,24514,341561,654777,2942859,3312303,0.01,0.01,3347477,439041,-374029,3412489,0,5.95,12.18,5.22,1.85,0.14,2.3,2.05,97.06,58.45,119.56,-12.18,56244387,100186,81839
BVB,Bao Viet Joint Stock Commercial Bank,2020,JSCB,1359,24,41.97,2376.79,0,0,33741058,3607463,22841843,189171,1660746,131016,36214637,59187496,0,0,0.01,2604841,657822,272468,21760,311150,605378,2899069,3262663,0.01,0,3128432,413861,-207394,3334899,0,6.09,10.69,7.27,0.83,0.1,1.58,1.45,97.83,61.19,107.33,-2.84,55580033,72236,57043
BVB,Bao Viet Joint Stock Commercial Bank,2021,JSCB,1324,58,49.04,1119.36,0.01,0.01,37077944,3672385,25238488,241521,1247569,119065,40103786,65461339,0,0,0.01,2141108,716191,305680,34019,300783,640482,2480807,2857299,0.01,0.01,3062822,571132,-695022,2938932,0,5.61,9.9,4.94,0.96,0.1,1.77,2.3,97.22,61.26,108.16,-11.2,61788954,81633,64923
BVB,Bao Viet Joint Stock Commercial Bank,2022,JSCB,1348,58,52.3,1215.55,0,0.01,41385012,3735246,33195909,323662,1109252,111536,44963510,78270955,0,0,0.01,2803470,826495,350333,38987,352002,741322,3192790,3629965,0.01,0.01,3602123,680560,-562504,3720179,0,4.77,9.03,3.34,0.98,0.09,1.89,1.78,97.58,57.45,108.65,-21.24,74535709,90214,70502
CB,Construction Bank (former name: Trustbank),2008,JSCB,,,,,,,2015544,582380,1624280,-2107,2107,151673,1214446,2990399,0,0,0,120299,1272,,,,,120299,121571,0,0,188484,7314,-1900,193898,0,19.47,28.89,0.13,-0.13,2.15,11.03,5.61,62.7,40.61,60.25,41.83,2408019,72327,64255
CB,Construction Bank (former name: Trustbank),2009,JSCB,,,,,,,3896487,1558358,5213996,-25715,25715,462272,2851464,8527732,0,0,0,354031,110329,,,,,354031,464360,0,0,452598,216550,-24646,644502,0,18.27,39.99,0.49,-0.49,1.78,9.73,3.46,72.05,33.44,73.18,11.82,6969374,180142,151666
CB,Construction Bank (former name: Trustbank),2010,JSCB,1174,103,368.95,4205.34,0.01,0,8948429,3255424,10051710,-75392,29063,1214910,8494937,19761557,0,0,0.01,1038002,20421,,,,,1038002,1058423,0,0,1493251,114064,-49854,1557461,0.01,16.47,36.38,0.29,-0.75,2.19,13.31,5.36,67.96,42.99,94.93,2.11,16506133,499038,433150
CB,Construction Bank (former name: Trustbank),2011,JSCB,,,,,,,11172976,3218985,11930584,-120387,197433,1406679,13792258,27129521,0,0.01,0.01,2894651,12403,,,,,2894651,2907054,0.01,0.01,3386373,123425,-71060,3438738,0.01,11.87,28.81,1.65,-1.01,1.76,14.81,3.57,84.54,50.84,123.44,-16.64,23910536,531684,476593
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2002,SOCB,,,,,,,48432991,3173697,47120856,227731,1842138,608424,20251132,67980412,0.24,0.23,0.2,2707401,809032,311925,154978,198790,665693,3174304,3516433,0.33,0.34,4174823,248787,-729293,3694317,0.32,4.67,6.55,3.91,0.48,0.26,5.51,7.25,95.18,29.79,41.81,59.53,,177884,174884
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2003,SOCB,,270,,759.95,,0.11,56491099,4154083,51778532,108021,1727268,755876,28352692,80887100,0.2,0.19,0.19,3838689,1074200,439414,184867,258367,882648,4462970,4912889,0.24,0.21,5739293,328695,-931913,5136075,0.21,5.14,7.35,3.34,0.21,0.25,4.94,6.7,95.65,35.05,50.19,36.37,,223186,205186
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2004,SOCB,,283,,730.99,,0.11,64701713,4908773,64159522,444056,483804,1002172,28109110,93270804,0.18,0.17,0.16,3965833,1332507,482827,256937,375755,1115519,4705597,5298340,0.2,0.18,6678272,282127,-1409035,5551364,0.17,5.26,7.59,0.75,0.69,0.22,4.21,9.65,95.44,30.14,43.44,39.98,,253024,206869
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2005,SOCB,7197,286,58.79,1479.35,0.11,0.08,84387013,4999839,74632271,158639,307675,1405515,39728184,115765970,0.17,0.16,0.16,4793131,1848800,863131,218725,708690,1790546,5874987,6641931,0.18,0.16,8079782,579839,-1492506,7167115,0.16,4.32,5.92,0.41,0.21,0.37,8.46,8.27,92.67,34.32,47.08,52.09,7381980,525184,423093
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2006,SOCB,,291,,2071.48,,0.07,91505860,5637625,80152334,10304,1128278,1157037,54133149,135442520,0.15,0.14,0.14,6571160,2218085,1118567,302987,719768,2141322,7992714,8789245,0.15,0.15,10116365,1103127,-1600256,9619236,0.13,4.16,6.16,1.41,0.01,0.45,10.69,6.55,91.37,39.97,59.16,46.63,12365527,829991,602800
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2007,SOCB,17147,326,67.03,3525.9,0.17,0.08,112425814,10646529,102190640,1708407,2584297,1214196,62708135,166112971,0.12,0.11,0.11,8085890,2868936,1619189,312022,834816,2766027,10017101,10954826,0.12,0.12,12769280,2068199,-2353568,12483911,0.11,6.41,9.47,2.53,1.67,0.69,10.8,7.47,87.75,37.75,55.78,40.07,20077885,1529085,1149442
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2008,SOCB,16923,,106.63,,0.14,,121634466,12336159,120752073,2150396,2187345,1995515,70842769,193590357,0.1,0.11,0.1,13873456,5107890,2947019,827162,1183504,4957685,17647637,18981346,0.12,0.12,21062887,1655027,-1300180,21417734,0.12,6.37,10.14,1.81,1.78,0.93,14.63,10.15,88.62,36.59,58.24,36.46,15932928,2436388,1804464
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2009,SOCB,17758,947,161.82,3034.44,0.13,0,148530242,12572078,163170485,1551109,1000809,3297530,77317193,243785208,0.1,0.1,0.09,10976345,5613929,3587024,578992,1249262,5415278,15142361,16590274,0.1,0.1,18908608,1946737,-507900,20347445,0.1,5.16,8.46,0.61,0.95,1.18,22.86,10.26,81.53,31.72,52.05,36.72,26862267,3757171,2873618
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2010,SOCB,17243,1093,198.01,3123.83,0.11,0.01,205918705,18170363,234204809,2769902,1538538,3297645,130209737,367712191,0.1,0.11,0.1,19830186,7600796,4140982,643727,2412428,7197137,24614895,27430982,0.11,0.11,31919188,3134059,-3024227,32029020,0.1,4.94,8.82,0.66,1.18,0.93,18.79,9.28,85.64,35.41,63.23,28.95,36616739,4598038,3414347
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2011,SOCB,18622,1107,336.13,5654.35,0.11,0.06,257273708,28490896,293434312,3036502,2204171,3746217,163423396,460603925,0.11,0.13,0.11,35727190,10015952,4975087,1465971,2636851,9077909,42168248,45743142,0.12,0.11,55775244,3264170,-4904251,54135163,0.12,6.19,11.07,0.75,1.03,1.36,21.97,12.27,84.5,35.48,63.52,23.8,47837808,8392021,6259367
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2012,SOCB,19840,157,310.97,39297.32,0.11,0.01,289105307,33624531,333356092,3673254,4889996,5276653,164897514,503530259,0.1,0.13,0.11,32240738,10157785,4988884,1695812,2750977,9435673,38925434,42398523,0.11,0.11,50660762,4263615,-4357954,50566423,0.12,6.68,11.63,1.47,1.1,1.23,18.35,11.17,83.85,32.75,57.04,25.78,55780222,8167900,6169679
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2013,SOCB,19886,160,292.06,36299.86,0.11,0.01,364497001,54074666,376288968,3300226,3770293,7080388,192999060,576368416,0.11,0.13,0.12,26003568,10922738,5005376,1759138,3145140,9909654,32768082,36926306,0.11,0.11,44280823,4519528,-4123423,44676928,0.11,9.38,14.84,1,0.88,1.01,10.74,9.47,82.65,33.49,52.95,33.79,64276134,7750622,5807978
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2014,SOCB,19787,161,289.48,35576.89,0.11,0.01,424181174,55259104,439869027,4366502,4905151,8894803,212477897,661241727,0.11,0.13,0.12,23494895,13089320,5057620,1977433,2769443,9804496,30529948,36584215,0.11,0.11,41357011,6453341,-3922676,43887676,0.12,8.36,13.03,1.12,0.99,0.87,10.37,8.41,83.36,32.13,50.09,34.74,80515684,7303461,5727880
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2015,SOCB,21024,159,271.92,35955.21,0.11,0.03,492960064,56110146,538079829,4549711,4942240,8665767,232737891,779483487,0.11,0.13,0.12,23632746,13816256,5492149,2045177,3182131,10719457,31170072,37449002,0.11,0.11,42471731,7001698,-4678986,44794443,0.11,7.2,11.38,0.92,0.85,0.73,10.19,8.09,83.6,29.86,47.21,35.22,162669802,7345441,5716878
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2016,SOCB,22957,,294.69,,0.14,,655060148,60306764,661987797,6898571,6982357,10623575,275956133,948567505,0.12,0.14,0.13,30585706,15732880,6944745,2143870,3760228,12848843,39674321,46318586,0.12,0.12,52889585,6941313,-5058609,54772289,0.12,6.36,9.21,1.05,1.04,0.71,11.22,8.08,84.57,29.09,42.13,46.19,,8453703,6765211
CTG,Vietnam Joint Stock Commercial Bank of Industry and Trade,2017,SOCB,23784,,313.61,,0.11,,752935338,63765283,790688059,8302823,9011131,11436527,292936256,1095060842,0.12,0.14,0.13,38204212,18755948,8282388,2631446,4155943,15069777,49118046,56960160,0.13,0.13,65277199,9233054,-8343899,66166354,0.12,5.82,8.47,1.14,1.05,0.68,11.7,9.24,86.09,26.75,38.91,46.09,,9206194,7458902
